"_id","level","name","parent_id","url_path"
66,3,"Boxe si Subwoofere auto",443,"auto-moto-anvelope/electronice-auto/boxe-subwoofere-auto"
68,3,"Detectoare radar",443,"auto-moto-anvelope/electronice-auto/detectoare-radar"
70,3,"Modulator FM",443,"auto-moto-anvelope/electronice-auto/modulator-fm"
74,3,"Statii meteo",446,"casa-iluminat-bricolaj/gradina/statii-meteo"
78,3,"Receivere AV",77,"tv-audio-video-foto/audio-hi-fi/receivere-av"
89,3,"Telecomenzi",84,"tv-audio-video-foto/accesorii-video-smart-tv/telecomenzi"
90,3,"Accesorii Smart TV",84,"tv-audio-video-foto/accesorii-video-smart-tv/accesorii-smart-tv"
94,3,"Cabluri si adaptoare audio",84,"tv-audio-video-foto/accesorii-video-smart-tv/cabluri-audio"
98,3,"Ventilatoare",2267,"racire-purificare-aer-incalzire/aparate-racire-aer/ventilator"
99,3,"Microfoane",84,"tv-audio-video-foto/accesorii-video-smart-tv/microfoane"
100,3,"Purificatoare aer",2269,"racire-purificare-aer-incalzire/aparate-filtrare-aer/purificatoare-aer"
101,3,"Calorifere electrice",2268,"racire-purificare-aer-incalzire/aparate-incalzire-aer/calorifere-electrice"
102,3,"Aeroterme",2268,"racire-purificare-aer-incalzire/aparate-incalzire-aer/aeroterme"
103,3,"Boilere",2270,"racire-purificare-aer-incalzire/aparate-incalzire-si-preparare-apa-menajera/boilere"
105,3,"Baterii",286,"casa-iluminat-bricolaj/casa-bricolaj-electrice/baterii"
109,3,"Acumulatori",286,"casa-iluminat-bricolaj/casa-bricolaj-electrice/acumulatori-electrice"
130,3,"Incarcatoare acumulatori",286,"casa-iluminat-bricolaj/casa-bricolaj-electrice/incarcatoare-acumulatori"
134,3,"Tavi si platouri",367,"electrocasnice-mici-vesela/servirea-mesei/tavi-platouri"
135,3,"Prelungitoare",286,"casa-iluminat-bricolaj/casa-bricolaj-electrice/prelungitoare"
171,3,"Statii emisie receptie",443,"auto-moto-anvelope/electronice-auto/statii-emisie-receptie"
180,2,"Suporturi TV ",27,"tv-audio-video-foto/suporturi-tv"
214,3,"Ceasuri decorative",2282,"casa-iluminat-bricolaj/decoratiuni-home-deco/ceasuri-casa"
217,3,"Ascutitori cutite",1017,"electrocasnice-mici-vesela/ustensile-pentru-gatit/ascutitori-cutite"
218,3,"Accesorii, consumabile hote",435,"electrocasnice-mari-clima/accesorii-consumabile-electrocasnice-mari/accesorii-hote"
219,3,"Accesorii ceai",365,"electrocasnice-mici-vesela/prepararea-mesei/accesorii-ceai"
220,3,"Accesorii masini de spalat rufe",435,"electrocasnice-mari-clima/accesorii-consumabile-electrocasnice-mari/accesorii-masini-spalat-rufe"
221,3,"Ceainice si infuzoare",365,"electrocasnice-mici-vesela/prepararea-mesei/ceainice-si-infuzoare"
222,3,"Accesorii aspiratoare",773,"electrocasnice-mici-vesela/aspiratoare-accesorii-consumabile/accesorii-aspiratoare-ingrijirea-locuintei"
223,3,"Recipiente depozitare",367,"electrocasnice-mici-vesela/servirea-mesei/recipiente-depozitare"
227,3,"Incarcatoare laptop",195,"laptop-desktop-it/accesorii-laptop/incarcatoare-laptop"
231,3,"Accesorii cuptoare cu microunde",413,"electrocasnice-mici-vesela/accesorii-aparate-bucatarie/accesorii-cuptoare-microunde"
234,3,"Radiatoare si convectoare",2268,"racire-purificare-aer-incalzire/aparate-incalzire-aer/radiatoare-convectoare"
237,3,"Amplificatoare stereo",77,"tv-audio-video-foto/audio-hi-fi/amplificatoare-stereo"
238,3,"Playere",77,"tv-audio-video-foto/audio-hi-fi/playere-audio-hi-fi"
239,3,"Tunere radio",77,"tv-audio-video-foto/audio-hi-fi/tunere-radio"
240,3,"Pick-up (Turntable)",77,"tv-audio-video-foto/audio-hi-fi/pick-up-turntable"
241,3,"Echipamente DJ",77,"tv-audio-video-foto/audio-hi-fi/echipamente-dj"
288,3,"Lanterne",287,"casa-iluminat-bricolaj/iluminat/lanterne"
303,4,"Telescoape",361,"tv-audio-video-foto/camere-foto-video/optica-astronomie/telescoape"
324,3,"Accesorii diverse tablete",23,"telefoane-tablete/accesorii-tablete/accesorii-diverse-tablete"
325,3,"Incarcatoare telefon",170,"telefoane-tablete/accesorii-telefon-mobil/incarcatoare-telefon"
340,3,"Acumulatori si incarcatoare scule electrice",339,"casa-iluminat-bricolaj/bricolaj-smart-home-iluminat-gradina/acumulatori-incarcatoare-scule-electrice"
342,3,"Scule si Unelte de mana",339,"casa-iluminat-bricolaj/bricolaj-smart-home-iluminat-gradina/scule-unelte-mana"
348,3,"Ibrice",365,"electrocasnice-mici-vesela/prepararea-mesei/ibrice"
349,3,"Boluri",367,"electrocasnice-mici-vesela/servirea-mesei/boluri"
362,4,"Binocluri si lunete",361,"tv-audio-video-foto/camere-foto-video/optica-astronomie/binocluri-lunete"
368,3,"Ustensile de gatit",1017,"electrocasnice-mici-vesela/ustensile-pentru-gatit/ustensile-gatit"
369,3,"Becuri",287,"casa-iluminat-bricolaj/iluminat/becuri-iluminat"
372,3,"Umidificatoare",2269,"racire-purificare-aer-incalzire/aparate-filtrare-aer/umidificatoare"
373,3,"Saci aspiratoare",773,"electrocasnice-mici-vesela/aspiratoare-accesorii-consumabile/saci-aspiratoare"
384,3,"Cantare bebelusi si copii",1732,"copii-jucarii-bebe-rechizite/baia-bebelusului/cantare-bebelusi-copii"
385,3,"Termometre copii",577,"copii-jucarii-bebe-rechizite/igiena-ingrijire-copii/termometre-copii"
387,3,"Rame foto clasice",2282,"casa-iluminat-bricolaj/decoratiuni-home-deco/rame-foto-clasice"
388,3,"Rame foto digitale",153,"tv-audio-video-foto/camere-foto-video/rame-foto-digitale"
399,3,"Consumabile aparate frigorifice",435,"electrocasnice-mari-clima/accesorii-consumabile-electrocasnice-mari/consumabile-aparate-frigorifice"
