"id","seller_product_code","external_id","product_id","product","name","catalog_price","selling_price","row_total","voucher","quantity","status","commission","commission_percent","vat","aditional_data","created_at","order_id","updated_at"
299552,"GEL DE DUS  LE JARDIN TRANDAFIR ATX","67FE754E6DB6A","67fe0420f35c29966207477c","{}","Gel de dus Dalan Le Jardin Bujor & Trandafir, 500ml",13,13,78,0,6,1,5.24,8,19,"{""offer_id"":894149}","2025-06-23T19:28:06+00:00",268709,
299551,"GEL DE DUS  LE JARDIN FREZIE ATX","67FE75857C4F5","67fe05a6f96715a9de0df1cd","{}","Gel de dus Dalan Le Jardin Frezie & Mazare Dulce, 500ml",13,13,78,0,6,1,5.24,8,19,"{""offer_id"":894185}","2025-06-23T19:28:06+00:00",268709,
299157,"SCUTEC PURE BABY NO.2 ATX","67EBFFBF06638","67eb8999876538da2c064827","{}","Scutece Pure Baby Nr. 2, 3-6kg, 68 buc./pachet",39.9,39.9,39.9,0,1,1,2.68,8,19,"{""offer_id"":861541}","2025-06-23T09:22:03+00:00",268340,
297753,"OSCAR SCOTCH ATX","67EC07C9E3675","67ebcf30840777fb69028206","{}","Banda adeziva de tip scotch Oscar, 48mmx80m 6 buc/set, transparent",27,27,27,0,1,3,1.82,8,19,"{""offer_id"":861940}","2025-06-20T07:26:06+00:00",267035,"2025-06-23T14:00:34+00:00"
297669,"Set 3*PureBaby Bamboo Nr. 5, +Pure 120buc ATX","682601B288552","68258adf966ad21e090ef7bb","{}","Set 3 pachete Pure Baby Organic Bamboo Nr. 5, scutece chilotel 120buc, cu 1 pachet servetele umede copii Pure, 120buc",119,119,119,0,1,3,8,8,19,"{""offer_id"":930728}","2025-06-20T03:38:02+00:00",266962,"2025-06-23T14:00:34+00:00"
297356,"SCUTECE PURE BABY BAMBUS NO.5 ATX","67F00243676DD","67efcfa218668504c50ae8af","{}","Scutece-chilotel Pure Baby Organic Bamboo, nr.5, 11-20 kg, 40 bucati",39.9,39.9,39.9,0,1,3,2.68,8,19,"{""offer_id"":864958}","2025-06-19T12:50:02+00:00",266703,"2025-06-23T14:00:34+00:00"
296859,"Set 3*PureBaby Bamboo Nr. 5, +Pure 120buc ATX","682601B288552","68258adf966ad21e090ef7bb","{}","Set 3 pachete Pure Baby Organic Bamboo Nr. 5, scutece chilotel 120buc, cu 1 pachet servetele umede copii Pure, 120buc",119,119,119,0,1,9,8,8,19,"{""offer_id"":930728}","2025-06-18T14:54:02+00:00",266237,"2025-06-23T11:28:03+00:00"
296692,"OSCAR M. LATEX M ATX","67ECD2B3D8C8D","67ecd0ac990629672306d209","{}","Manusi Latex usor pudrate Oscar, masura M, 100 buc",19.5,19.5,19.5,0,1,9,1.31,8,19,"{""offer_id"":862450}","2025-06-18T09:24:02+00:00",266077,"2025-06-23T11:27:37+00:00"
296620,"GEL DE DUS  LE JARDIN FREZIE ATX","67FE75857C4F5","67fe05a6f96715a9de0df1cd","{}","Gel de dus Dalan Le Jardin Frezie & Mazare Dulce, 500ml",13,13,13,0,1,9,0.87,8,19,"{""offer_id"":894185}","2025-06-18T07:14:03+00:00",266012,"2025-06-23T11:27:11+00:00"
296355,"ODORIZANT BRIZA MARII 120ML ATX","67FFDBA2653D8","67ffb27520a634bd510af264","{}","Odorizant de camera cu betisoare Purelife, 120 ml, Briza Marii",16.98,16.98,16.98,0,1,9,1.14,8,19,"{""offer_id"":896155}","2025-06-17T15:02:03+00:00",265770,"2025-06-23T11:26:19+00:00"
295436,"ODORIZANT CIRESE 120ML ATX","67FFDBE81918F","67ffbc6b47969860f80ad658","{}","Odorizant de camera cu betisoare Purelife, 120ml, cirese",16.98,16.98,16.98,0,1,9,1.14,8,19,"{""offer_id"":896200}","2025-06-16T08:42:03+00:00",264913,"2025-06-18T06:30:51+00:00"
295209,"OSCAR M. NITRIL M ATX","67EAC3ACA4B01","67ea7ba829c9a4fca5073d98","{}","Manusi Nitril nepudrate Oscar, masura M, 100 buc",19.5,19.5,19.5,0,1,9,1.31,8,19,"{""offer_id"":861071}","2025-06-15T17:10:02+00:00",264699,"2025-06-18T14:00:35+00:00"
294384,"REZERVA ODORIZANT LAVANDA 210ML ATX","6807B6562BE5A","68078d63f8883e341604b508","{}","Rezerva odorizant de camera Pure Air Lavanda, 210 ml",9.9,9.9,9.9,0,1,9,0.67,8,19,"{""offer_id"":904616}","2025-06-14T04:54:05+00:00",263955,"2025-06-19T10:30:27+00:00"
294306,"SERVETELE PURE SOFT TOUCH 120 ATX","67EB8839471F9","67eb83dc906cd0503a0b63f6","{}","Servetele umede Pure Premium Soft touch mix, 120buc",9.5,9.5,19,0,2,9,1.28,8,19,"{""offer_id"":861534}","2025-06-13T18:08:03+00:00",263881,"2025-06-18T13:30:36+00:00"
293900,"DALAN THERAPY sap. lichid ulei masline ATX","6846F785B9042","6846cbf12fae0297d708b920","{}","Sapun Lichid Dalan Therapy Olive, 400ml",8.9,8.9,44.5,0,5,9,2.99,8,19,"{""offer_id"":986363}","2025-06-13T07:12:06+00:00",263507,"2025-06-18T12:30:40+00:00"
